"ID","Date","State","Ride or Device","Device type","Manufacturer","Category","Age","Accident Description","Injury"
"919126","17-Sep-2008","CA","wooden coaster","Coaster - wooden","Custom Coasters Int.","Patron hit something within ride vehicle","55","Patron hit left side on car.","Pain to left rib area."
"919081","13-Sep-2008","CA","dark ride","Track ride","","Seizure or LOC","24","Guest stated she had a seizure while riding. History of seizures.","Seizure.  Treated at local hospital."
"919056","12-Sep-2008","CA","airplanes","Plane/jet/helicopter","Zamperla","Load/Unload: scrape or stumble","","Adult patron tripped and fell out of airplane, put left arm out to catch herself.","Possible broken wrist"
"919102","11-Sep-2008","CA","boat ride","Boat ride","Arrow Dynamics","Illness or neurological symptoms","49","Guest complained of difficulty breathing after riding.  History of heart condition.","Breathing difficulty.  Treated at local hospital."
"919092","08-Sep-2008","CA","carousel","Carousel","","Fell from seat, but not carrier","37","Guest stated she injured her right wrist after falling off attraction horse.","Injury to wrist.  Treated at local hospital."
"919106","07-Sep-2008","CA","steel sitdown coaster","Coaster - miscellaneous","","Illness or neurological symptoms","39","Guest stated she had neck and shoulder pain and numbness to her finger and both feet after...","Neck/shoulder pain, numbness in extremities.  Treated at local hospital."
"919110","06-Sep-2008","CA","steel sitdown coaster","Coaster - miscellaneous","","Illness or neurological symptoms","42","Guest stated she experienced nausea, weakness, dizziness, and was disoriented after riding....","Dizziness, nausea, disorientation.  Treated at local hospital."
"919089","05-Sep-2008","CA","boat ride","Boat ride","","Illness or neurological symptoms","20","Guest states she had increase of twitching after riding attraction.  Guest also has extensive...","Exacerbation of twitching.  Treated at local hospital."
"919073","05-Sep-2008","CA","rafting ride","Rafting ride","Intamin AG","Load/Unload: scrape or stumble","11","Guest stated she slipped and fell on the exit turntable.","Fractured elbow.  Treated at local hospital."
"919078","04-Sep-2008","CA","flying jet/rocket","Plane/jet/helicopter","","Load/Unload: scrape or stumble","77","Guest stated he injured his left rib while boarding ride vehicle.","Treated by private physician"
"919164","31-Aug-2008","CA","tea cups","Spinning cups/tubs","I.E. Park","Fell from seat, but not carrier","6","Guest was spinning and fell off to the side and hit floor.","Small laceration and missing baby tooth on lower bite.  Treated at local hospital."
"919105","31-Aug-2008","CA","boat ride","Boat ride","Arrow Dynamics","Body pain (normal motion)","22","Guest stated she felt back pain after riding.","Back pain.  Treated by paramedics."
"919157","31-Aug-2008","CA","waterslide","Water slide","SCS Interactive","Load/Unload: scrape or stumble","12","Guest stated that she fell while entering slide #2 and bumped her mouth on the bar that goes...","Injury to mouth.  Treated at local hospital."
"919100","30-Aug-2008","CA","steel sitdown coaster","Coaster - miscellaneous","","Patron hit something within ride vehicle","22","Guest stated she fractured her rib while riding.","Fractured rib.  Treated by private physician."
"919080","29-Aug-2008","CA","Mine Train","Coaster - mine train","Arrow Dynamics","Injured in queue or exit","48","Guest stated she injured her hip and back at the load gate.","Treated at local hospital"
"919088","29-Aug-2008","CA","dark ride","Track ride","","Body pain (normal motion)","31","Guest stated she injured her neck while on the ride.","Neck injury.  Treated by private physician."
"919147","29-Aug-2008","CA","wave pool","Wave pool","Wave Loch","Patron flipped off inner tube or mat","31","Guest stated she was riding the Flow Rider and she fell off the boogy board.  As she made...","Injury to arm.  Treated at local hospital."
"919183","29-Aug-2008","CA","Continuous Inner Tube","Water slide","Whitewater West Industries Ltd.","Patron flipped off inner tube or mat","42","Guest walked into first aid and stated that she came out of her tube in the catch pool.  She...","Head injury. Treated at local hospital."
"919109","27-Aug-2008","CA","steel sitdown coaster","Coaster - miscellaneous","","Load/Unload: scrape or stumble","57","Guest stated that she fell while exiting ride vehicle.","Treated by private physician."
"919210","27-Aug-2008","CA","waterslide","Water slide","","Hyperextension or dislocation","39","Guest was loading herself into a double inner tube and holding on to the railing at the top of...","Dislocated shoulder.  Treated at local hospital."
"919077","26-Aug-2008","CA","dark ride","Track ride","","Illness or neurological symptoms","30","Guest stated not feeling well prior to ride and had chest pains after ride.","Treated at local hospital"
"919091","26-Aug-2008","CA","boat ride","Boat ride","","Load/Unload: scrape or stumble","3","Guest's father stated she fell at load, hitting her forehead.","Injury to forehead.  Treated at local hospital."
"919151","25-Aug-2008","CA","racing slide","Water slide","Pro Slide","Patron flipped off inner tube or mat","16","Guest stated while she was riding, her mat stopped.  She slipped off and continued down without...","Laceration to chin and wrist pain.  Treated at local hospital."
"919108","24-Aug-2008","CA","steel sitdown coaster","Coaster - miscellaneous","","Body pain (normal motion)","11","Guest stated his neck was sore after riding.","Neck pain.  Treated at medical clinic."
"919101","22-Aug-2008","CA","dark ride","Track ride","","Load/Unload: scrape or stumble","22","Guest stated a varicose vein ruptured when boarding the vehicle.","Ruptured varicose vein.  Treated at local hospital."
"919086","21-Aug-2008","CA","train","Train","","Illness or neurological symptoms","72","Guest stated she felt faint and nauseated while riding.","Dizziness, nausea.  Treated at local hospital."
"919122","20-Aug-2008","CA","rafting ride","Rafting ride","Intamin AG","Patron hit something within ride vehicle","7","Child turned and hit tooth on seat.","Broken tooth."
"919129","18-Aug-2008","CA","Convoy","Track ride","Zamperla","Load/Unload: hit or pinched by restraint","2","Child closed his finger in the door.","Laceration to fingertip."
"919158","18-Aug-2008","CA","waterslide","Water slide","SCS Interactive","Fall (climb or play area)","29","Guest allegedly slipped on platform by slide #3.","Lower back pain.  Guest also stated she wanted to seek further medical treatment.  Guest stated that she had injured her back several weeks ago.  Treated at local hospital."
"919124","17-Aug-2008","CA","Boomerang","Coaster - miscellaneous","Vekoma","Load/Unload: scrape or stumble","19","Guest tripped while exiting ride.","Ankle injury."
"919133","17-Aug-2008","CA","wave pool","Wave pool","Wave Tek","Patrons collided","4","Guest bumped his head into his mother's tooth.","Laceration to head."
"919134","16-Aug-2008","CA","wave pool","Wave pool","Wave Tek","Patron's body hit something (participatory attraction)","4","Guest was hit by a wave while sitting on the beach.","Father reported the child looked tired."
"919131","14-Aug-2008","CA","Accelerator Coaster","Coaster - miscellaneous","Intamin AG","Body pain (normal motion)","11","Patron complained of neck pain.","Neck pain.  Treated at local hospital."
"919136","14-Aug-2008","CA","waterslide","Water slide","Whitewater West Industries Ltd.","Patron flipped off inner tube or mat","27","Guest flipped on tube, hit head on bottom.","Neck pain.  Treated at local hospital."
"919082","10-Aug-2008","CA","monorail","Monorail","","Illness or neurological symptoms","75","Guest stated he experienced neck pain and dizziness.  History of cardiac condition.","Neck pain, dizziness.  Treated at local hospital and released."
"919199","09-Aug-2008","CA","boat ride","Boat ride","Vekoma","Load/Unload: scrape or stumble","75","While transitioning out of the boat at unload, the guest lost her footing and fell face-forward...","Guest was sent to hospital for evaluation.  The guest's wound was closed with steri-strips, released by the hospital, and returned to the park."
"919121","03-Aug-2008","CA","rafting ride","Rafting ride","Intamin AG","Unknown (not enough info)","34","Patron abraded knee.","Abrasion to knee, became infected."
"919197","02-Aug-2008","CA","motion simulator","Simulator","Intamin AG","Illness or neurological symptoms","64","After experiencing the attraction, the guest felt weak and dizzy with nausea.  Guest had a pre-...","Guest was assessed by paramedics.  It was recommended that she go to the hospital for further evaluation."
"919160","01-Aug-2008","CA","waterslide","Water slide","","Patron's body hit something (participatory attraction)","46","Guest bumped his head on the left side.","Head injury."
"919156","01-Aug-2008","CA","racing slide","Water slide","Pro Slide","Patron flipped off inner tube or mat","26","Guest stated that while she was riding, she fell over the front of her mat and bumped her chin...","Injury to chin."
"919178","28-Jul-2008","CA","lazy river","Lazy river","Aquatic Design Engineering (ADE)","Patron's body hit something (participatory attraction)","57","While trying to get onto an inner tube, guest slipped on the bottom of the pool and hit the...","Pain in neck.  Treated at local hospital."
"919189","28-Jul-2008","CA","Tornado","Water slide","Pro Slide","Patron's body hit something (participatory attraction)","52","Guest stated that while riding Tornado, she fell on her tailbone, causing pain.","Sacrum pain.  Treated at hospital."
"919065","26-Jul-2008","CA","carousel","Carousel","Chance Manufacturing, Inc.","Load/Unload: scrape or stumble","7","This child was one of three children in a family group.  During the ride, she was seated in the...","Unknown"
"919161","26-Jul-2008","CA","waterslide","Water slide","","Seizure or LOC","48","Guest was pulled unconscious from the splash pool waterslide.","Head laceration on right side, loss of consciousness.  Spinal precautions taken to prevent movement of her head.  Transported to local hospital."
"919201","25-Jul-2008","CA","steel sitdown coaster","Coaster - miscellaneous","Premier Rides, Inc.","Body pain (normal motion)","41","Guest claimed pain to his abdomen that occurred while riding, when the vehicle entered zone 7....","Abdominal pain.  Treated at local hospital."
"919145","25-Jul-2008","CA","waterslide","Water slide","Whitewater West Industries Ltd.","Hyperextension or dislocation","57","Guest stated that while going down slide, he bumped his shoulder, dislocating it.  Prior history...","Dislocated shoulder."
"919155","25-Jul-2008","CA","racing slide","Water slide","Pro Slide","Patron flipped off inner tube or mat","11","Guest stated that she was kneeling on the riding mat.  As she went over the first hump, she fell...","Injury to chin."
"919135","24-Jul-2008","CA","waterslide","Water slide","Whitewater West Industries Ltd.","Patron's body hit something (participatory attraction)","5","Guest had a laceration to right foot after riding.","Laceration to foot."
"919174","22-Jul-2008","CA","waterslide","Water slide","International Ride Services, Inc.","Load/Unload: scrape or stumble","33","Guest walked into first aid office with his wife, who stated that he slipped and fell while...","Upon examination, the guest showed signs of a concussion, and was sent to the hospital."
"919085","21-Jul-2008","CA","train","Train","","Load/Unload: scrape or stumble","34","Guest stated as she stepped off train, she misstepped and fell, causing left wrist pain.","Wrist injury.  Treated by personal physician."
"919165","20-Jul-2008","CA","waterslide","Water slide","Whitewater West Industries Ltd.","Body pain (normal motion)","37","Patron was at the top of the slide and felt sudden onset of lower back pain as he pulled himself...","Back pain.  Treated at local hospital."
"919154","20-Jul-2008","CA","racing slide","Water slide","Pro Slide","Patron flipped off inner tube or mat","10","Guest stated that he got up on his knees during the ride, fell and chipped his tooth.","Chipped tooth.  Guest's mother stated that they would go to the dentist to get it checked out."
"919119","18-Jul-2008","CA","rafting ride","Rafting ride","Intamin AG","Patron hit something within ride vehicle","30","Patron came out of seat and landed on tailbone.","Injured tailbone."
"919209","18-Jul-2008","CA","waterslide","Water slide","Surf Construction","Patrons collided","10","Patron collided with another guest in the flume.","One-inch cut between toes caused by toe ring."
"919198","14-Jul-2008","CA","motion simulator","Simulator","Intamin AG","Illness or neurological symptoms","68","The guest's family stated that she lost consciousness during the ride.  When the ride ended, her...","Guest was assessed by paramedics.  It was recommended that she go to the hospital for further evaluation."
"919140","12-Jul-2008","CA","drop tower","Drop tower","Gebr. Heege GmbH","Load/Unload: scrape or stumble","6","Guest fell while exiting ride and hit head on concrete.","Head injury.  Child does not remember falling, so mother would like to see physician."
"919208","12-Jul-2008","CA","waterslide","Water slide","Surf Construction","Patrons collided","11","Collided with another patron in flume.  Both guests returned to the park to play.  Mother on one...","Unknown."
"919138","11-Jul-2008","CA","wave pool","Wave pool","Wave Tek","Patron flipped off inner tube or mat","18","Guest was sitting in inner tube and fell back.","Head and neck pain.  Treated at local hospital."
"919153","11-Jul-2008","CA","racing slide","Water slide","Pro Slide","Patron flipped off inner tube or mat","22","Guest claimed that the mat slowed, possibly stopped and she hit her chin on the slide.","Laceration to chin.  Guest stated that she will seek medical attention."
"919144","10-Jul-2008","CA","tube slide","Water slide","Pro Slide","Load/Unload: scrape or stumble","41","Guest stated that a lifeguard slipped and fell while he was getting in their raft.","Pain to left arm."
"919064","10-Jul-2008","CA","carousel","Carousel","Chance Manufacturing, Inc.","Load/Unload: scrape or stumble","10","Ride ended and guest stepped off the ride platform and fell.  Her right elbow hit the ground,...","Abrasions to elbow and knee"
"919192","07-Jul-2008","CA","flume ride","Flume ride","Arrow Dynamics","Collision: operator-controlled vehicles","33","Guest stated while riding, her boat was bumped from behind, which is normal operation for this...","Neck and back pain.  Treated at hospital."
"919193","05-Jul-2008","CA","looping coaster","Coaster - miscellaneous","Arrow Dynamics","Illness or neurological symptoms","39","Guest rode the ride, then walked to main gate where she informed security officers that she was...","Head and chest pain.  Treated at hospital."
"919139","04-Jul-2008","CA","waterslide","Water slide","Whitewater West Industries Ltd.","Patron flipped off inner tube or mat","30","Flipped out of tube in catch pool, jamming right finger on bottom.","Deformity of finger; possible fracture."
"919072","03-Jul-2008","CA","looping coaster","Coaster - miscellaneous","Intamin AG","Body pain (normal motion)","52","Guest stated her neck hurt after riding.","Neck pain.  Treated by private physician"
"919207","03-Jul-2008","CA","Aqua Drum","Water slide","Amusement Leisure Worldwide","Entrapment or pinch-point","32","Caught ring on back of entry box.  Removed ring with snips.  Patient claimed no further need of...","Finger injury."
"919204","02-Jul-2008","CA","motion simulator","Simulator","SimEx-Iwerks","Body pain (normal motion)","60","Guest reported to first aid and complained of chest pain.  Guest has history of hypertension....","Chest pain.  Treated at local hospital."
"919152","02-Jul-2008","CA","racing slide","Water slide","Pro Slide","Injured in queue or exit","15","Guest stated they were walking up the stairs, slipped and hit the back of his head.","1-inch laceration to back of head.  He left the park with friends, stating he will seek medical attention."
"919159","01-Jul-2008","CA","waterslide","Water slide","Amusement Leisure Worldwide","Load/Unload: scrape or stumble","3","Guest's mother stated that she was assisting her daughter into the start area when she slipped...","Injury to chin.  Treated by personal physician."
"919099","30-Jun-2008","CA","steel sitdown coaster","Coaster - miscellaneous","","Injured by foreign object","40","Guest stated that firework debris hit his eye while riding attraction.","Eye injury.  Treated by private physician."
"919149","30-Jun-2008","CA","wave pool","Wave pool","Wave Loch","Entrapment or pinch-point","14","Guest stated he was riding Flow Rider when his foot got caught under the matting.","Treated at local hospital."
"919200","29-Jun-2008","CA","boat ride","Boat ride","Vekoma","Body pain (normal motion)","12","Guest reported to guest relations appoximately 2 hours after riding to report neck and back pain...","Paramedics sent child to local hospital for further evaluation.  Guest left the hospital without receiving any treatment."
"919205","27-Jun-2008","CA","tube slide","Water slide","Whitewater West Industries Ltd.","Patron flipped off inner tube or mat","12","Riding in a double tube.  Friend fell out, then victim fell forward, hitting his mouth near the...","Inner halves of 2 front teeth chipped off at root."
"919150","25-Jun-2008","CA","waterslide","Water slide","Amusement Leisure Worldwide","Load/Unload: scrape or stumble","4","Guest's mother stated that her daughter fell while she was helping her get into the start area...","Guest's father stated that they would be taking their daughter to get checked out."
"919146","24-Jun-2008","CA","bowl-type slide","Water slide","Pro Slide","Body pain (normal motion)","45","Guest had completed the ride properly, but complained of neck pain.","Neck pain.  Guest's guardian stated that patron has Down Syndrome.  Guest was transported to local hospital to get checked out."
"919162","24-Jun-2008","CA","water coaster ride","Flume ride","Mack Rides","Patron hit something within ride vehicle","36","Guest has Cerebral Palsey and cannot grasp with right hand.  When going down the first drop, he...","Injured finger.  Treated by personal physician."
"919163","22-Jun-2008","CA","water coaster ride","Flume ride","Mack Rides","Body pain (normal motion)","31","Guest didn't recall anything specific on ride.  She said there were ""jerky sections"".  She felt...","Back pain.  Treated by personal physician."
"919143","22-Jun-2008","CA","boat ride","Boat ride","SIB International","Load/Unload: scrape or stumble","7","Child was stepping into a boat on the platform when he tripped on the edge of the boat and hit...","Head injury.  Treated at local hospital."
"919195","22-Jun-2008","CA","4th dimension coaster","Coaster - 4th dimension","Arrow Dynamics","Hyperextension or dislocation","22","Guest complained that her knee popped out while riding.  She stated she has a history of knee...","Dislocated knee.  Treated at hospital."
"919142","22-Jun-2008","CA","Robocoaster","Robotic ride","Kuka","Body pain (normal motion)","6","Guest claims that she and her son rode the attraction twice and suffered whiplash.","Whiplash.  Treated at hospital ER."
"919117","14-Jun-2008","CA","boat ride","Boat ride","","Illness or neurological symptoms","48","Guest stated he felt dizzy and nauseous before and after riding.","Dizziness, nausea.  Treated at local hospital."
"919120","14-Jun-2008","CA","rafting ride","Rafting ride","Intamin AG","Load/Unload: scrape or stumble","31","Patron slipped on wet surface and fell on right knee.","Knee injury."
"919203","13-Jun-2008","CA","steel sitdown coaster","Coaster - miscellaneous","Premier Rides, Inc.","Body pain (normal motion)","15","After exiting the ride, the guest reported right hip pain to park personnel.  Guest disclosed a...","Hip pain.  Treated at local hospital."
"918584","09-Jun-2008","CA","tube slide","Water slide","Waterworld Products Inc.","Body pain (normal motion)","7","Guest stated upon entry into the splash pool of *** that she hurt her back.","back pain"
"919141","07-Jun-2008","CA","Robocoaster","Robotic ride","Kuka","Load/Unload: scrape or stumble","52","Guest stated that while getting on the ride, she did not notice the step down to the platform...","Injury to right foot and right arm.  Treated by onsite EMT in first aid.  An hour later she told park staff she would seek offsite treatment at the local hospital."
"919202","02-Jun-2008","CA","steel sitdown coaster","Coaster - miscellaneous","Premier Rides, Inc.","Restraint too tight","","Park was notified via email of alleged ride-related incident.  Per guest:  ""restraining bar came...","Two fractured ribs.  Guest did not report injury when it occurred.  Upon return home, guest saw his physician.  X-ray showed two fractured ribs."
"919166","01-Jun-2008","CA","speed slide","Water slide","Whitewater West Industries Ltd.","Body pain (normal motion)","8","Guest walked into the first aid office and complained of pain to her neck after riding the slide...","Neck pain.  Treated at local hospital."
"919084","01-Jun-2008","CA","train","Train","","Load/Unload: scrape or stumble","35","Guest stated as she stepped off train, she experienced back pain.","Back pain.  Treated at local hospital."
"919083","31-May-2008","CA","train","Train","","Patron hit something within ride vehicle","2","Guest's father stated that he injured his forehead as he leaned forward reaching for the seat in...","Injury to forehead.  Treated at local hospital."
"918863","29-May-2008","CA","boat ride","Boat ride","Vekoma","Body pain (normal motion)","7","Boat 8, row 5, seat 4. Guest's family reported guest was experiencing chest pains. Mother...","chest pain"
"919111","29-May-2008","CA","flume ride","Flume ride","","Patron hit something within ride vehicle","25","Guest stated she was in the front seat and hit her head on the front of the log.","Head injury.  Treated at local hospital."
"918681","28-May-2008","CA","C.P. Huntington Train","Train","Chance Manufacturing, Inc.","Collision: operator-controlled vehicles","","Engine 208 collided with engine 327. 208 rear-ended 327. Guest transported to hospital in...","none"
"918137","28-May-2008","CA","inverted coaster","Coaster - inverted","Bolliger & Mabillard","Body pain (normal motion)","11","Guest complained of shoulder and neck pain.","shoulder and neck pain"
"918826","26-May-2008","CA","motion simulator","Simulator","Intamin AG","Body pain (normal motion)","46","Guest rode attraction in vehicle 111, row 1, seat 1 (left side). Guest exited the ride vehicle...","neck and back pain"
"918820","25-May-2008","CA","motion simulator","Simulator","Intamin AG","Injured by foreign object","34","Guest rode attraction in vehicle #201, row 2, seat 1 on the left side. During the ride, guest...","eye pain"
"918900","25-May-2008","CA","motion simulator","Simulator","SimEx-Iwerks","Fell from seat, but not carrier","3","Guest fell from her mother's lap, landing between the seats and lodging her right arm. EMT...","arm and shoulder pain"
"919079","24-May-2008","CA","flying jet/rocket","Plane/jet/helicopter","","Body pain (normal motion)","38","Guest stated his pre-existing back pain was exacerbated after riding.","Treated at local hospital"
"918093","23-May-2008","CA","dark ride","Track ride","Hurlbut","Load/Unload: hit or pinched by restraint","18","Guest complained of right hand pain after having hand caught in ore car door.","pinched hand"
"919114","23-May-2008","CA","flume ride","Flume ride","","Load/Unload: scrape or stumble","24","Guest stated she twisted her right knee when disembarking from the ride vehicle at unload.","Knee injury.  Treated at local hospital."
"918684","22-May-2008","CA","tea cups","Spinning cups/tubs","I.E. Park","Entrapment or pinch-point","38","Guest partially stood to adjust the seating position of one of her children passengers....","bruised arm, entrapment"
"918712","20-May-2008","CA","Music Express","Himalaya-type","Mack Rides","Patrons collided within vehicle","15","Guest stated that while riding, her friend was pressed up against her and it began to hurt her...","hip pain"
"919090","20-May-2008","CA","boat ride","Boat ride","","Load/Unload: scrape or stumble","87","Guest stated she twisted left ankle while stepping up to disembark her boat at the unload dock...","Ankle injury.  Treated at local hospital."
"919104","17-May-2008","CA","boat ride","Boat ride","Arrow Dynamics","Illness or neurological symptoms","51","Guest stated she experienced an asthma attack after riding.  Guest has pre-existing medical...","Asthma attack.  Treated by park nurse and paramedics."
"918536","16-May-2008","CA","lazy river","Lazy river","California Pools","Body pain (normal motion)","44","Guest stated that she was attempting to get onto a tube in *** and injured her right knee. Guest...","right knee injury"
"917191","15-May-2008","CA","YoYo","Swing ride","Chance Manufacturing, Inc.","Equipment failure","","21 children were injured when a swing ride suffered structural collapse.  Swing chairs carrying...","21 patrons were injured.  Of those, 13 were transported via life flight and ambulance to various emergency rooms.  Two children were hospitalized.  The others were treated and released."
"919113","15-May-2008","CA","flume ride","Flume ride","","Patron hit something within ride vehicle","44","Guest stated she injured her wrist as she braced herself on the seat back when the log moved...","Wrist injury.  Treated by personal physician with pain meds and orthopedic wrist splint."
"919107","15-May-2008","CA","steel sitdown coaster","Coaster - miscellaneous","","Illness or neurological symptoms","43","Guest stated she was experiencing dizziness, nausea, and vomiting after riding attraction.  Park...","Dizziness, nausea, vomiting.  Treated at local hospital."
"919093","13-May-2008","CA","carousel","Carousel","","Seizure or LOC","6","Per guest's mother, he experienced seizure-like symptoms after riding.  Guest has prior medical...","Seizure-like symptoms.  Treated at local hospital."
"918679","12-May-2008","CA","carousel","Carousel","Chance Manufacturing, Inc.","Load/Unload: scrape or stumble","78","Guest fell off the carousel platform onto the cement, attempting to exit the ride, she hit her...","swelling to cheek bone/face"
"919132","12-May-2008","CA","carousel","Carousel","Chance Manufacturing, Inc.","Load/Unload: scrape or stumble","78","Fell off the carousel platform onto the cement while attempting to exit ride.  She hit her right...","Abrasions to right wrist and right knee, swelling to right side of her cheek bone/face.  Patron was treated by park first aid staff, but refused ambulance transport.  Park staff advised patron to..."
"918632","09-May-2008","CA","speed slide","Water slide","Surf Coaster","Patron's body hit something (participatory attraction)","11","Guest stated that he bumped his head while riding Speed Slides. The school chaperon stated that...","head injury"
"919112","09-May-2008","CA","flume ride","Flume ride","","Illness or neurological symptoms","28","Guest stated she felt dizzy after riding.","Dizziness.  Treated at local hospital."
"917967","08-May-2008","CA","Sky Venture","Skydiving ride","SkyVenture","Patron's body hit something (participatory attraction)","54","Student was flying at knee height, rolled over, against wall, extended arm to catch self, hit...","wrist pain"
"918410","26-Apr-2008","CA","sky cycle","Sky cycle","Caripro","Illness or neurological symptoms","5","Child and Father were riding ride that has optional bicycle-like pedals. As child was reaching...","possible hernia"
"917472","25-Apr-2008","CA","drop tower","Drop tower","","Seizure or LOC","42","Guest passed out after exiting ride, fell, hit head and had a seizure.","seizure"
"918788","24-Apr-2008","CA","looping coaster","Coaster - miscellaneous","Arrow Dynamics","Body pain (normal motion)","35","Guest rode *** and after getting off the ride reported to the ride operator that she felt pain...","neck pain and spasms"
"917828","20-Apr-2008","CA","steel sitdown coaster","Coaster - miscellaneous","","Illness or neurological symptoms","58","Guest had motion sickness after riding.","motion sickness"
"917827","19-Apr-2008","CA","steel sitdown coaster","Coaster - miscellaneous","","Illness or neurological symptoms","8","After riding, guest had difficulty breathing on account of his asthma.","asthma"
"918076","18-Apr-2008","CA","tea cups","Spinning cups/tubs","Arrow Dynamics","Entrapment or pinch-point","4","Guest ring finger (left) was caught in the exit gate.","finger injury"
"918050","18-Apr-2008","CA","wooden coaster","Coaster - wooden","Custom Coasters Int.","Body pain (normal motion)","40","Guest complained of back pain after riding.","back pain"
"917803","18-Apr-2008","CA","dark ride","Track ride","","Illness or neurological symptoms","31","Guest had difficulty breathing after riding. Has an upper respiratory infection.",""
"917968","18-Apr-2008","CA","Sky Venture","Skydiving ride","SkyVenture","Hyperextension or dislocation","58","While a customer was flying he pushed on the wall and dislocated a finger. He requested...","dislocated finger"
"919098","18-Apr-2008","CA","steel sitdown coaster","Coaster - miscellaneous","","Illness or neurological symptoms","34","Guest stated that she felt nauseous and had chest pains after riding the attraction.","Nausea, chest pains.  Treated at local hospital."
"918051","10-Apr-2008","CA","wooden coaster","Coaster - wooden","Custom Coasters Int.","Illness or neurological symptoms","25","Guest complained of dizziness and was lethargic.","dizziness, lethargy"
